From,To,Dist
0,76,118
2,45,805
2,51,685
2,81,122
2,98,293
4,11,218
5,48,285
5,49,624
5,64,473
6,31,577
6,69,141
7,6,542
7,19,633
7,87,694
7,97,730
8,13,545
9,27,648
10,59,332
10,70,998
11,49,417
11,52,150
11,87,845
12,1,142
12,63,621
12,74,254
12,94,421
13,12,429
13,27,477
13,59,165
13,69,651
14,0,184
15,87,997
16,79,583
16,86,348
18,12,814
20,2,581
20,57,787
20,58,649
20,94,554
24,97,374
25,10,532
25,40,410
27,58,207
28,77,202
29,7,873
30,44,508
30,51,951
32,52,799
32,75,667
32,96,910
33,42,330
35,76,819
38,65,739
42,21,834
42,53,964
43,69,624
45,51,904
45,65,497
45,82,993
46,50,966
48,10,501
48,45,467
48,55,545
49,48,473
49,61,369
49,62,688
51,45,199
51,65,806
51,66,246
52,12,604
52,32,522
52,37,487
53,73,373
54,6,270
58,11,573
58,39,701
58,76,530
59,11,333
59,25,171
59,42,416
59,68,434
59,96,456
60,61,666
61,10,664
61,13,274
61,25,853
61,34,204
61,72,822
61,81,413
63,74,589
63,85,601
65,11,873
65,23,211
65,27,941
65,32,790
67,86,332
69,5,786
69,16,115
69,26,604
69,30,813
69,32,812
69,51,945
69,77,138
71,52,599
72,76,953
72,86,596
72,92,882
74,7,335
74,10,623
74,47,262
76,13,873
76,22,681
76,65,594
77,17,554
77,20,225
77,48,121
77,87,288
78,58,653
80,25,922
81,53,355
81,97,927
81,99,455
83,96,128
84,30,677
86,12,383
86,32,987
86,36,526
87,25,698
87,93,804
89,74,183
90,46,965
91,25,694
91,48,292
91,56,553
91,59,816
93,95,302
94,5,950
94,20,413
94,59,210
94,88,350
96,41,109
96,69,586
96,97,809
97,3,100
97,32,474
97,42,587
97,46,282
97,53,999
97,61,631
97,63,862
97,72,979
97,91,929
